Year,Area Name,Carcass Size,Harvest Date,Location
2020,ORANGE LAKE,9 ft. 6 in.,08/28/2020,
2020,KISSIMMEE RIVER,9 ft. 6 in.,10/07/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 6 in.,10/08/2020,
2020,LAKE OKEECHOBEE NORTH,9 ft. 6 in.,08/16/2020,
2020,ORANGE LAKE,9 ft. 6 in.,09/25/2020,
2020,LAKE MARIAN,9 ft. 6 in.,08/27/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 6 in.,10/19/2020,
2020,LAKE DEXTER,9 ft. 6 in.,10/27/2020,
2020,STA - 1W SOUTH,9 ft. 6 in.,08/15/2020,
2020,LEVY COUNTY,9 ft. 6 in.,08/17/2020,SUWANNEE SOUND
2020,LAKE COUNTY,9 ft. 6 in.,09/15/2020,STEWART LAKE
2020,LEVY COUNTY,9 ft. 6 in.,08/19/2020,GULF HAMMOCK
